config_name                            , config_id                                                                   , domain    , chunker, embedder            , index, retriever, reranker     , repacker, summarizer          , prompt           , generator, n , n_scored, relevance         , utilization        , completeness       , adherence, gold_relevance    , gold_utilization  , gold_completeness, gold_adherence, gap_relevance      , gap_utilization       , gap_completeness     , gap_adherence       , relevant_count, total_sentences, utilized_count, overlap_count, unsupported_count, scoring
extractive_norerank.yaml               , fixed|minilm|faiss|dense|none|reverse|none|extractive|ollama                , Biomedical, fixed  , minilm              , faiss, dense    , none         , reverse , none                , extractive       , ollama   , 10,       10, 0.5496176046176047, 0.19357864357864357, 0.2934523809523809 ,       0.6, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.1782925528577703 , -0.07743584917497964  , -0.4005952380952381  , -0.20000000000000007,            6.3,            12.4,            2.5,           2.1,               0.4, done
grounded_norerank.yaml                 , fixed|minilm|faiss|dense|none|reverse|none|grounded|ollama                  , Biomedical, fixed  , minilm              , faiss, dense    , none         , reverse , none                , grounded         , ollama   , 10,       10, 0.6218398268398269, 0.41468975468975466, 0.5666666666666667 ,       0.6, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.2505147750799925 , 0.14367526193613145   , -0.12738095238095237 , -0.20000000000000007,            7.3,            12.4,            5.3,           4.9,               0.5, done
grounded_rerank.yaml                   , fixed|minilm|faiss|dense|cross_encoder|reverse|none|grounded|ollama         , Biomedical, fixed  , minilm              , faiss, dense    , cross_encoder, reverse , none                , grounded         , ollama   , 10,       10, 0.5161399711399711, 0.19396825396825396, 0.2575             ,       0.4, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.14481491938013674, -0.07704623878536926  , -0.436547619047619   , -0.4                ,            6.4,            12.4,            2.3,           1.7,               0.6, done
grounded_rerank_top8.yaml              , fixed|minilm|faiss|dense|cross_encoder_top8|reverse|none|grounded|ollama    , Biomedical, fixed  , minilm              , faiss, dense    , cross_encoder, reverse , none                , grounded         , ollama   , 10,       10, 0.5161399711399711, 0.19396825396825396, 0.2575             ,       0.4, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.14481491938013674, -0.07704623878536926  , -0.436547619047619   , -0.4                ,            6.4,            12.4,            2.3,           1.7,               0.6, done
grounded_pooled_hybrid_dense_heavy.yaml, fixed|minilm|faiss|hybrid|none|reverse|none|grounded|ollama                 , Biomedical, fixed  , minilm              , faiss, hybrid   , none         , reverse , none                , grounded         , ollama   , 10,       10, 0.6449725274725274, 0.336510989010989  , 0.37844155844155847,       0.7, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.27364747571269304, 0.06549649625736581   , -0.31560606060606056 , -0.10000000000000009,            7.9,            13.6,            3.8,           3.2,               0.3, done
grounded_pooled_norerank.yaml          , fixed|minilm|faiss|dense|none|reverse|none|grounded|ollama                  , Biomedical, fixed  , minilm              , faiss, dense    , none         , reverse , none                , grounded         , ollama   , 10,       10, 0.4441450216450217, 0.2874278499278499 , 0.4333333333333333 ,       0.8, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.0728199698851873 , 0.016413357174226706  , -0.26071428571428573 , 0.0                 ,            5.8,            13.7,            3.5,           2.8,               0.4, done
grounded_complete_norerank.yaml        , fixed|minilm|faiss|dense|none|reverse|none|grounded_complete|ollama         , Biomedical, fixed  , minilm              , faiss, dense    , none         , reverse , none                , grounded_complete, ollama   , 10,       10, 0.6543001443001443, 0.5188961038961039 , 0.6375             ,       0.7, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.2829750925403099 , 0.24788161114248064   , -0.05654761904761907 , -0.10000000000000009,            7.5,            12.4,            6.3,           4.3,               0.7, done
grounded_complete_rerank.yaml          , fixed|minilm|faiss|dense|cross_encoder|reverse|none|grounded_complete|ollama, Biomedical, fixed  , minilm              , faiss, dense    , cross_encoder, reverse , none                , grounded_complete, ollama   , 10,       10, 0.5486291486291486, 0.4335137085137085 , 0.6722222222222223 ,       0.8, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.1773040968693142 , 0.1624992157600853    , -0.021825396825396748, 0.0                 ,            6.9,            12.4,            5.5,           5.3,               0.6, done
grounded_pooled_complete.yaml          , fixed|minilm|faiss|dense|none|reverse|none|grounded_complete|ollama         , Biomedical, fixed  , minilm              , faiss, dense    , none         , reverse , none                , grounded_complete, ollama   , 10,       10, 0.4670815295815296, 0.4177056277056277 , 0.6041666666666667 ,       0.8, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.09575647782169522, 0.14669113495200448   , -0.08988095238095228 , 0.0                 ,            5.9,            13.7,            5.0,           4.0,               0.6, done
grounded_pooled_chunk256.yaml          , fixed|minilm|faiss|dense|none|reverse|none|grounded|ollama                  , Biomedical, fixed  , minilm              , faiss, dense    , none         , reverse , none                , grounded         , ollama   , 10,       10, 0.4441450216450217, 0.2874278499278499 , 0.4333333333333333 ,       0.8, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.0728199698851873 , 0.016413357174226706  , -0.26071428571428573 , 0.0                 ,            5.8,            13.7,            3.5,           2.8,               0.4, done
grounded_bge_norerank.yaml             , fixed|sentence_transformer|faiss|dense|none|reverse|none|grounded|ollama    , Biomedical, fixed  , sentence_transformer, faiss, dense    , none         , reverse , none                , grounded         , ollama   , 10,       10, 0.5682323232323232, 0.2692063492063492 , 0.43928571428571433,       0.6, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.19690727147248882, -0.0018081435472739882, -0.2547619047619047  , -0.20000000000000007,            6.5,            12.4,            3.2,           2.9,               0.4, done
minimal_norerank.yaml                  , fixed|minilm|faiss|dense|none|reverse|none|minimal|ollama                   , Biomedical, fixed  , minilm              , faiss, dense    , none         , reverse , none                , minimal          , ollama   , 10,       10, 0.5358080808080807, 0.5440620490620491 , 0.7177777777777778 ,       0.5, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.16448302904824635, 0.2730475563084259    , 0.023730158730158823 , -0.30000000000000004,            6.2,            12.4,            6.1,           4.6,               1.8, done
grounded_pooled_compress_emb.yaml      , fixed|minilm|faiss|dense|none|reverse|extractive_embedding|grounded|ollama  , Biomedical, fixed  , minilm              , faiss, dense    , none         , reverse , extractive_embedding, grounded         , ollama   , 10,       10, 0.5683982683982685, 0.4714285714285714 , 0.6666666666666667 ,       0.4, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.19707321663843408, 0.2004140786749482    , -0.027380952380952284, -0.4                ,            4.5,             8.3,            3.6,           2.7,               0.6, done
minimal_rerank.yaml                    , fixed|minilm|faiss|dense|cross_encoder|reverse|none|minimal|ollama          , Biomedical, fixed  , minilm              , faiss, dense    , cross_encoder, reverse , none                , minimal          , ollama   , 10,       10, 0.6831240981240981, 0.5896897546897547 , 0.8391414141414142 ,       0.6, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.31179904636426375, 0.3186752619361315    , 0.14509379509379516  , -0.20000000000000007,            8.3,            12.4,            6.9,           6.8,               1.3, done
minimal_grounded_rerank.yaml           , fixed|minilm|faiss|dense|cross_encoder|reverse|none|minimal_grounded|ollama , Biomedical, fixed  , minilm              , faiss, dense    , cross_encoder, reverse , none                , minimal_grounded , ollama   , 10,       10, 0.5796176046176046, 0.50501443001443   , 0.6944444444444444 ,       0.4, 0.3713250517598344, 0.2710144927536232, 0.694047619047619,            0.8, 0.2082925528577702 , 0.2339999372608068    , 0.0003968253968253954, -0.4                ,            7.1,            12.4,            6.1,           5.4,               2.6, done
